YEAR	MONTH	GLOBAL RADIATION (cal/cm.d)	SUNLIGHT (h/d)	PRECIPITATION (mm)	RELATIVE HUMIDITY (%)	 MAX TEMPERATURE (°C)	 MIN TEMPERATURE  (°C)	 AVERAGE TEMPERATURE  (°C)
1993 	SEP 	305	5.1	154.4	83	26.9	15.3	21.1
1994 	SEP 	403	8.4	0.5	62	31.7	14.1	22.9
1995 	SEP 	353	6.7	37.6	72	28.9	14.1	21.5
1996 	SEP 	359	6.3	135.2	76	27.1	14.8	20.9
1997 	SEP 	341	5.9	95.0	71	29.4	15.3	22.4
1998 	SEP 	335	5.7	89.3	76	27.7	15.3	21.5
1999 	SEP 	423	7.8	85.9	70	28.8	14.0	21.4
2000 	SEP 	396	6.2	91.2	73	27.2	15.1	21.2
2001 	SEP 	425	7.2	48.4	67	28.1	14.7	21.4
2002 	SEP 	340	5.8	44.8	61	27.5	13.6	20.6
2003 	SEP 	378	6.8	12.1	70	29.4	14.0	21.7
2004 	SEP 	445	8.1	7.1	61	32.0	15.3	23.7
2005 	SEP 	362	5.4	38.4	80	26.8	14.9	20.9
2006 	SEP 	370	6.3	54.7	67	28.3	13.5	20.9
2007 	SEP 	444	7.5	1.9	57	31.3	15.2	23.2
2008 	SEP 	456	7.6	46.1	68	27.1	13.3	20.2
2009 	SEP 	371	5.2	143.8	77	27.6	16.8	22.2
2010 	SEP 	406	6.8	107.7	63	29.4	15.1	22.3
2011 	SEP 	516	9.5	1.7	61	30.3	12.6	21.4
2012 	SEP 	484	8.7	40.9	62	30.4	14.8	22.6
2013 	SEP 	453	7.8	35.5	66	29.3	14.3	21.8
2014 	SEP 	453	7.8	84.6	79	30.8	15.9	23.4
2015 	SEP 	427	7.3	189.8	80	30.4	16.7	23.6
2016 	SEP 	460	8.3	19.0	67	29.3	14.0	21.6
2017 	SEP 	489	10.1	46.7	55	32.1	14.0	23.0
2018 	SEP 	406	7.5	54.0	71	28.7	13.9	21.3
2019 	SEP 	438	7.4	55.6	67	30.8	15.1	22.9
1917 	OCT 			58.4		27.6	13.8	20.7
1918 	OCT 			130.9		27.6	15.7	21.7
1919 	OCT 			68.2		28.9	16.7	22.8
1920 	OCT 			82.3		29.3	15.0	22.2
1921 	OCT 		14.8	59.7		28.4	13.6	21.0
1922 	OCT 		12.6	91.7		26.5	13.9	20.2
1923 	OCT 		11.3	41.7		26.5	15.2	20.9
1924 	OCT 		16.1	15.2		28.3	12.2	20.3
1925 	OCT 		13.6	110.7		28.4	14.9	21.6
1926 	OCT 		6.7	67.6		28.8	15.4	22.1
1927 	OCT 		6.6	126.1		28.3	15.1	21.7
1928 	OCT 		6.6	58.8		29.2	14.6	21.9
1929 	OCT 		5.1	13.4		30.0	16.3	23.2
1930 	OCT 		4.3	116.4		27.5	16.3	21.9
1931 	OCT 		7.6	65.8		28.0	14.1	21.1
1932 	OCT 		6.2	113.4		28.6	16.4	22.5
1933 	OCT 		5.7	109.2		29.0	14.8	21.9
1934 	OCT 		7.8	70.4		29.5	14.6	22.0
1935 	OCT 		6.1	211.4		27.5	16.0	21.8
1936 	OCT 		7.8	51.8		29.9	15.3	22.6
1937 	OCT 		5.2	155.6		27.3	16.3	21.8
1938 	OCT 		4.8	171.0		27.6	16.8	22.2
1939 	OCT 		7.6	41.9		31.2	15.1	23.2
1940 	OCT 		6.4	95.8		29.4	15.6	22.5
1941 	OCT 		7.4	115.7		28.6	14.1	21.4
1942 	OCT 		6.8	24.3		30.0	14.6	22.3
1943 	OCT 		5.6	215.8	71	27.8	15.6	21.7
1944 	OCT 		6.4	183.5	55	32.9	17.6	25.3
1945 	OCT 		6.7	126.4	63	30.1	15.7	22.9
1946 	OCT 		6.2	96.2	61	30.0	16.1	23.1
1947 	OCT 		5.7	90.1	85	25.5	13.6	19.5
1948 	OCT 		5.8	147.5	62	28.0	14.7	21.4
1949 	OCT 		5.4	100.5	63	27.6	15.1	21.3
1950 	OCT 		5.0	190.2	72	27.2	15.7	21.5
1951 	OCT 		5.6	128.6	65	29.4	14.7	22.0
1952 	OCT 		4.6	105.4	66	27.5	15.5	21.5
1953 	OCT 		4.8	97.7	72	29.3	16.6	22.9
1954 	OCT 		4.2	87.3	67	30.0	15.2	22.6
1955 	OCT 		5.5	64.8	62	28.7	14.5	21.6
1956 	OCT 		7.2	72.6	67	27.6	14.6	21.1
1957 	OCT 		7.8	64.2	62	29.9	15.6	22.8
1958 	OCT 		7.4	121.2	68	28.1	15.5	21.8
1959 	OCT 		6.9	79.6	62	30.3	16.0	23.1
1960 	OCT 		5.2	123.1	69	29.6	17.8	23.7
1961 	OCT 		5.6	43.4	60	31.5	17.2	24.3
1962 	OCT 		4.9	198.9	78	25.4	15.1	20.3
1963 	OCT 		5.5	148.7	66	31.5	17.3	24.4
1964 	OCT 		6.5	161.8	71	26.9	15.0	20.9
1965 	OCT 		6.3	112.1	71	28.0	15.8	21.9
1966 	OCT 		6.5	130.4	65	28.7	15.5	22.1
1967 	OCT 		6.0	210.5	69	30.2	16.7	23.5
1968 	OCT 		7.2	121.4	66	30.6	15.1	22.9
1969 	OCT 		6.0	83.4	73	27.0	14.6	20.8
1970 	OCT 		7.0	83.7	71	28.6	15.1	21.9
1971 	OCT 			151.4				
1972 	OCT 		6.7	181.6		28.2	15.3	21.7
1973 	OCT 			174.6	72			
1974 	OCT 		6.2	126.6	73	28.8	15.7	22.3
1975 	OCT 		6.5	98.0	73	28.7	16.1	22.4
1976 	OCT 		6.0	168.3	76	27.0	14.4	20.7
1977 	OCT 		7.6	66.7	72	30.4	15.9	23.1
1978 	OCT 	484	8.3	58.2	70	31.4	14.4	22.9
1979 	OCT 	299	6.9	101.4	75	30.1	16.7	23.5
1980 	OCT 	369	6.8	52.5	78	28.7	16.4	22.4
1981 	OCT 	490	4.9	231.2	78	27.0	15.4	21.1
1982 	OCT 	567	6.2	254.5	78	28.7	16.0	22.2
1983 	OCT 	537	5.0	129.1	71	28.0	15.8	21.9
1984 	OCT 	471	8.4	27.0	66	31.3	16.3	23.8
1985 	OCT 	587	8.9	11.3	62	32.4	15.3	23.8
1986 	OCT 	465	8.7	52.9	64	29.8	16.1	23.0
1987 	OCT 	398	6.8	67.0	67	29.4	16.7	23.0
1988 	OCT 	342	6.1	196.9	63	28.6	15.3	22.0
1989 	OCT 	466	8.6	46.3	58	28.6	12.9	20.8
1990 	OCT 	412	7.3	125.4	71	30.5	16.9	23.7
1991 	OCT 	394	6.9	70.5	69	29.4	16.3	22.9
1992 	OCT 	377	6.3	242.1	78	28.9	15.5	22.2
1993 	OCT 	418	7.0	73.4	77	30.2	17.1	23.7
1994 	OCT 	417	6.3	126.8	73	32.2	18.4	25.3
1995 	OCT 	392	6.4	190.2	76	28.3	15.8	22.1
1996 	OCT 	409	6.9	238.5	80	29.4	16.8	23.1
1997 	OCT 	409	6.4	62.8	77	29.4	17.3	23.3
1998 	OCT 	369	5.4	183.1	83	27.1	16.3	21.7
1999 	OCT 	454	7.0	28.5	73	28.5	15.4	21.9
2000 	OCT 	480	7.2	114.2	69	32.1	18.0	25.0
2001 	OCT 	496	7.9	173.3	69	29.5	16.1	22.8
2002 	OCT 	431	7.4	49.4	54	33.8	18.8	26.3
2003 	OCT 	423	6.3	89.2	74	30.0	16.3	23.1
2004 	OCT 	375	4.7	156.9	81	27.4	16.1	21.7
2005 	OCT 	364	4.5	120.4	81	30.4	18.3	24.3
2006 	OCT 	452	6.6	80.3	80	29.6	17.0	23.3
2007 	OCT 	467	6.9	92.6	71	32.4	17.3	24.9
2008 	OCT 	445	5.9	108.7	75	29.5	17.6	23.5
2009 	OCT 	467	6.6	56.7	76	28.6	17.1	22.8
2010 	OCT 	486	7.4	87.4	68	28.6	15.4	22.0
2011 	OCT 	476	7.2	203.1	70	29.4	16.9	23.2
2012 	OCT 	496	8.2	76.2	65	32.6	17.9	25.3
2013 	OCT 	510	7.8	153.6	71	29.9	16.8	23.3
2014 	OCT 	592	9.7	20.1	55	32.5	16.7	26.6
2015 	OCT 	531	8.4	94.4	73	32.1	18.7	25.4
2016 	OCT 	490	7.8	103.1	73	29.9	17.1	23.5
2017 	OCT 	423	6.4	80.5	71	30.3	17.3	23.8
2018 	OCT 	441	6.8	154.4	77	28.9	16.9	22.9
2019 	OCT 	550	8.8	109.3	63	33.5	17.2	25.3
1917 	NOV 			19.8		29.1	12.4	20.8
1918 	NOV 			125.9		28.7	16.4	22.5
1919 	NOV 			142.0		29.1	18.2	23.7
1920 	NOV 			217.6		28.6	17.3	22.9
1921 	NOV 		14.7	37.7		30.1	15.4	22.7
1922 	NOV 		12.7	109.7		28.6	16.0	22.3
1923 	NOV 		12.7	60.7		29.1	16.3	22.7
1924 	NOV 		13.3	128.4		28.8	15.5	22.1
1925 	NOV 		11.3	230.3		28.6	17.3	22.9
1926 	NOV 		8.1	74.4		30.1	16.7	23.4
1927 	NOV 		8.6	48.8		30.2	16.8	23.5
1928 	NOV 		8.7	83.2		30.7	17.2	24.0
1929 	NOV 		7.1	99.2		29.0	15.4	22.2
1930 	NOV 		7.7	108.0		29.2	16.4	22.8
1931 	NOV 		6.1	214.0		28.1	16.5	22.3
1932 	NOV 		7.3	174.8		29.2	17.3	23.3
1933 	NOV 		7.4	40.1		29.0	14.2	21.6
1934 	NOV 		7.9	122.9		31.8	17.4	24.6
1935 	NOV 		7.5	82.0		29.9	16.1	23.0
1936 	NOV 		7.9	86.8		30.0	16.8	23.4
1937 	NOV 		7.0	121.8		29.0	16.4	22.7
1938 	NOV 		8.3	129.6		30.4	17.2	23.8
1939 	NOV 		4.6	198.9		29.2	18.2	23.7
1940 	NOV 		6.2	196.1		29.5	17.5	23.5
1941 	NOV 		5.2	217.0		28.8	17.7	23.3
1942 	NOV 		6.7	171.3		30.7	16.2	23.5
1943 	NOV 		6.9	163.3	67	29.9	16.5	23.2
1944 	NOV 		5.4	260.1	70	28.6	16.2	22.4
1945 	NOV 		5.3	232.9	73	27.6	17.2	22.4
1946 	NOV 		8.1	133.4	63	30.1	16.9	23.5
1947 	NOV 		7.6	114.6	64	28.3	15.2	21.7
1948 	NOV 		6.4	147.0	68	28.4	16.8	22.6
1949 	NOV 		7.4	45.1	58	30.5	14.9	22.7
1950 	NOV 		6.0	179.8	71	27.6	16.1	21.8
1951 	NOV 		2.4	222.6	70	29.2	17.3	23.3
1952 	NOV 		6.9	117.9	66	29.1	16.9	23.0
1953 	NOV 		6.3	82.3	67	29.3	16.3	22.8
1954 	NOV 		8.9	39.7	57	34.2	15.1	24.6
1955 	NOV 		7.3	127.6	62	28.1	14.1	21.1
1956 	NOV 		9.1	23.1	57	28.6	14.0	21.3
1957 	NOV 		7.0	57.1	69	28.5	16.2	22.3
1958 	NOV 		8.3	124.5	64	30.8	16.6	23.7
1959 	NOV 		5.8	246.7	69	29.4	16.5	23.0
1960 	NOV 		5.9	93.7	73	28.6	17.2	22.9
1961 	NOV 		7.9	138.3	70	30.9	17.8	24.4
1962 	NOV 		8.2	97.3	66	29.4	15.6	22.5
1963 	NOV 		7.0	163.4	64	31.5	18.4	25.0
1964 	NOV 		7.4	52.7	65	27.9	15.1	21.5
1965 	NOV 		7.1	99.1	71	29.7	16.8	23.3
1966 	NOV 		8.6	85.2	62	29.6	16.4	23.0
1967 	NOV 		6.4	77.5	71	28.7	16.6	22.7
1968 	NOV 		7.1	62.8	62	31.7	17.4	24.6
1969 	NOV 		4.9	212.7	81	28.4	17.6	23.0
1970 	NOV 		6.9	83.9	66	28.6	14.8	21.7
1971 	NOV 			34.2				
1972 	NOV 			122.8		25.0	13.6	17.2
1973 	NOV 			121.7	67			
1974 	NOV 		8.0	168.4		30.6	17.0	23.8
1975 	NOV 		4.3	236.8	78	27.8	17.4	22.6
1976 	NOV 		6.7	127.4	75	29.1	17.6	23.4
1977 	NOV 		5.3	134.8	79	30.0	17.3	23.6
1978 	NOV 	446	6.4	138.9	77	28.7	16.5	22.6
1979 	NOV 	365	6.4	102.8	74	28.8	16.5	22.6
1980 	NOV 	395	6.9	145.2	84	27.4	15.9	20.9
1981 	NOV 	592	6.5	167.2	77	30.2	18.3	24.3
1982 	NOV 	590	6.1	210.2	78	30.3	18.8	24.6
1983 	NOV 	639	7.8	88.4	66	29.5	16.9	23.2
1984 	NOV 	535	7.3	201.1	73	31.0	18.1	24.5
1985 	NOV 	557	8.1	134.3	61	32.2	17.2	24.7
1986 	NOV 	423	6.8	110.4	66	31.0	18.1	24.6
1987 	NOV 	470	8.4	113.3	67	31.0	17.3	24.2
1988 	NOV 	409	8.0	86.0	62	29.2	15.9	22.5
1989 	NOV 	445	7.4	99.9	63	29.2	16.3	22.7
1990 	NOV 	454	8.0	124.4	73	32.3	19.1	25.7
1991 	NOV 	483	8.6	56.8	68	31.4	17.5	24.5
1992 	NOV 	407	6.2	232.3	78	29.5	16.6	23.0
1993 	NOV 	488	8.5	91.6	74	32.2	18.3	25.3
1994 	NOV 	473	7.6	249.2	74	30.7	18.6	24.6
1995 	NOV 	480	8.1	156.3	72	30.1	17.3	23.7
1996 	NOV 	408	6.2	212.0	80	29.1	17.8	23.4
1997 	NOV 	427	5.6	269.4	82	30.3	19.5	24.9
1998 	NOV 	474	7.8	26.6	77	30.0	16.5	23.2
1999 	NOV 	480	7.0	52.1	72	29.5	15.7	22.6
2000 	NOV 	465	6.8	239.2	77	29.8	17.7	23.8
2001 	NOV 	466	6.7	152.4	68	30.7	18.7	24.7
2002 	NOV 	432	5.7	176.5	81	30.6	18.8	24.7
2003 	NOV 	438	6.0	168.0	78	29.5	17.7	23.6
2004 	NOV 	460	5.3	105.9	78	29.2	17.6	23.4
2005 	NOV 	442	5.8	117.8	80	29.5	17.1	23.3
2006 	NOV 	478	6.5	200.2	80	30.4	17.8	24.1
2007 	NOV 	462	6.1	120.3	82	28.8	17.4	23.1
2008 	NOV 	522	7.4	24.3	75	30.1	17.6	23.9
2009 	NOV 	501	6.9	196.5	74	31.7	20.1	25.9
2010 	NOV 	525	7.5	39.9	66	30.5	17.5	24.0
2011 	NOV 	555	8.7	157.1	69	29.2	16.4	22.8
2012 	NOV 	548	8.3	100.2	71	30.6	18.0	24.3
2013 	NOV 	524	7.5	109.9	72	30.5	18.6	24.6
2014 	NOV 	505	6.7	159.0	73	30.7	19.1	24.9
2015 	NOV 	420	5.0	251.5	85	30.5	20.7	25.6
2016 	NOV 	498	7.1	190.5	75	29.6	17.7	23.6
2017 	NOV 	514	7.4	235.7	73	29.6	16.9	23.3
2018 	NOV 	446	5.4	241.2	76	29.3	17.6	23.5
2019 	NOV 	494	6.6	222.8	76	30.5	17.8	24.1
1917 	DEC 			194.3		29.0	16.0	22.5
1918 	DEC 			127.2		29.2	17.2	23.2
1919 	DEC 			102.4		30.2	18.5	24.4
1920 	DEC 			161.6		29.1	17.7	23.4
1921 	DEC 		12.3	180.6		30.3	18.0	24.2
1922 	DEC 		11.9	105.6		29.2	17.3	23.2
1923 	DEC 		13.4	125.5		32.3	18.8	25.6
1924 	DEC 		11.2	231.8		29.1	17.9	23.5
1925 	DEC 		11.6	159.4		30.0	18.3	24.2
1926 	DEC 		4.8	360.8		28.0	18.8	23.4
1927 	DEC 		7.8	109.5		29.4	16.8	23.1
1928 	DEC 		5.7	272.0		29.6	18.7	24.1
1929 	DEC 		5.7	303.0		30.1	19.3	24.7
1930 	DEC 		4.9	328.6		28.2	18.3	23.3
1931 	DEC 		6.8	149.1		29.8	18.2	24.0
1932 	DEC 		5.6	336.4		28.8	19.1	23.9
1933 	DEC 		4.6	302.0		28.9	17.2	23.0
1934 	DEC 		4.7	415.9		28.2	19.1	23.6
1935 	DEC 		7.4	184.7		31.4	19.5	25.4
1936 	DEC 		5.3	293.6		30.2	19.7	24.9
1937 	DEC 		6.6	141.8		28.3	17.4	22.8
1938 	DEC 		6.1	209.6		29.0	18.7	23.9
1939 	DEC 		5.9	259.0		29.3	19.1	24.2
1940 	DEC 		7.1	198.0		32.5	20.5	26.5
1941 	DEC 		5.4	186.6		29.3	18.3	23.8
1942 	DEC 		5.1	201.1		28.0	17.2	22.6
1943 	DEC 		5.3	359.9	73	28.7	16.9	22.8
1944 	DEC 		8.2	158.7	61	31.5	16.8	24.2
1945 	DEC 		8.9	162.7	75	27.9	17.0	22.5
1946 	DEC 		4.7	82.0	70	29.7	18.1	23.9
1947 	DEC 		5.4	219.6	74	27.8	17.3	22.6
1948 	DEC 		8.7	109.0	63	30.4	16.9	23.6
1949 	DEC 		5.1	420.5	70	28.3	18.2	23.2
1950 	DEC 		6.3	134.0	75	29.0	17.4	23.2
1951 	DEC 		7.4	91.0	74	28.2	16.9	22.5
1952 	DEC 		9.6	153.6	58	30.7	16.9	23.8
1953 	DEC 		7.2	152.4	68	31.1	17.3	24.2
1954 	DEC 		5.6	193.0	68	30.1	16.9	23.5
1955 	DEC 		5.4	197.3	72	29.4	18.3	23.9
1956 	DEC 		8.1	137.0	63	29.7	16.7	23.2
1957 	DEC 		7.3	197.3	72	29.9	18.2	24.1
1958 	DEC 		7.1	151.2	69	31.1	18.6	24.8
1959 	DEC 		7.8	191.1	71	31.0	18.1	24.5
1960 	DEC 		6.5	314.2	71	29.4	17.8	23.6
1961 	DEC 		5.5	157.9	76	28.6	18.0	23.3
1962 	DEC 		6.2	201.6	78	28.6	18.4	23.5
1963 	DEC 		9.0	148.4	64	31.3	17.7	24.5
1964 	DEC 		4.9	268.4	75	27.6	17.5	22.6
1965 	DEC 		2.7	292.0	78	29.0	19.6	24.3
1966 	DEC 		7.1	225.4	70	30.4	18.9	24.6
1967 	DEC 		5.3	154.9	75	27.6	16.9	22.2
1968 	DEC 		7.8	235.5	73	30.2	18.6	24.4
1969 	DEC 		7.8	198.9	74	28.8	16.3	22.6
1970 	DEC 		6.7	138.8	70	31.2	18.9	25.0
1971 	DEC 			178.7				
1972 	DEC 			91.8				
1973 	DEC 			328.6	80			
1974 	DEC		3.4	247.7	82	27.2	18.9	23.1
1975 	DEC 		5.7	315.1	77	30.0	17.8	23.9
1976 	DEC 		4.2	191.4	83	28.5	19.2	23.8
1977 	DEC 		5.3	238.1	80	28.0	16.2	22.1
1978 	DEC 	475	6.6	96.6	75	29.4	16.8	23.1
1979 	DEC 	328	3.9	105.7	81	30.2	19.0	24.6
1980 	DEC 	394	6.5	185.1	91	28.2	18.4	22.5
1981 	DEC 	513	4.4	211.2	78	29.0	18.4	23.6
1982 	DEC 	481	3.5	215.0	85	28.0	18.4	23.2
1983 	DEC 	546	4.6	161.4	78	29.5	18.9	24.2
1984 	DEC 	487	5.6	196.0	79	29.4	18.1	23.7
1985 	DEC 	588	7.6	71.7	66	31.9	18.1	25.0
1986 	DEC 	365	4.0	282.3	83	29.2	19.4	24.3
1987 	DEC 	443	7.2	190.5	73	30.6	18.6	24.6
1988 	DEC 	368	7.1	200.4	65	30.1	17.9	24.0
1989 	DEC 	418	6.9	195.1	66	29.7	17.7	23.7
1990 	DEC 	458	7.4	61.1	72	31.5	18.3	24.9
1991 	DEC 	409	6.0	194.5	81	30.4	19.1	24.7
1992 	DEC 	475	8.2	142.2	74	30.2	16.8	23.5
1993 	DEC 	412	5.9	146.4	83	30.2	19.5	24.8
1994 	DEC 	483	7.2	260.8	80	31.7	19.9	25.8
1995 	DEC 	433	6.7	222.2	78	30.1	18.8	24.5
1996 	DEC 	412	6.0	188.3	85	30.6	19.8	25.2
1997 	DEC 	479	6.7	186.7	80	31.1	19.7	25.4
1998 	DEC 	441	6.1	292.6	82	30.0	19.2	24.6
1999 	DEC 	508	7.2	269.9	78	30.6	19.0	24.8
2000 	DEC 	448	5.6	196.2	81	29.8	19.0	24.4
2001 	DEC 	427	5.4	204.2	83	29.2	18.7	24.0
2002 	DEC 	461	6.0	166.1	86	31.2	19.7	25.4
2003 	DEC 	456	6.4	139.9	84	30.4	19.4	24.9
2004 	DEC 	438	5.4	99.8	83	29.5	18.2	23.8
2005 	DEC 	451	5.3	127.1	82	29.5	17.8	23.7
2006 	DEC 	489	6.0	251.7	89	30.1	19.8	25.0
2007 	DEC 	527	7.5	188.6	81	30.8	18.8	24.8
2008 	DEC 	532	7.3	153.0	78	30.2	17.9	24.0
2009 	DEC 	460	5.5	274.3	79	29.5	19.7	24.6
2010 	DEC 	482	6.3	244.1	76	30.7	19.9	25.3
2011 	DEC 	582	8.5	176.1	73	30.5	18.4	24.5
2012 	DEC 	554	7.9	192.9	80	32.9	21.1	27.0
2013 	DEC 	580	8.8	121.0	71	32.5	20.2	26.4
2014 	DEC 	546	8.0	256.9	77	32.5	20.5	26.5
2015 	DEC 	515	5.9	246.8	84	32.5	21.7	27.1
2016 	DEC 	538	7.3	190.6	76	31.4	19.2	25.3
2017 	DEC 	488	6.9	148.6	76	31.0	19.4	25.2
2018 	DEC 	583	8.5	52.2	69	32.3	18.5	25.4
2019 	DEC 	489	6.2	188.2	77	30.6	18.7	24.6
